,Data,Elapsed Time (s),F1 Score,CMI,Recall
0,500,5942.439996957779,0.5185185185185185,0.2771024116881145,0.4
1,500,5415.888351917267,0.5384615384615384,0.309274980541545,0.4
2,500,4459.03905582428,0.37037037037037035,0.0,0.0
3,1000,6757.556285142899,0.3846153846153846,0.0,0.0
4,1000,6080.915415763855,0.5,0.3349620409702033,0.4
5,1000,5741.877255678177,0.4799999999999999,0.2970200650723361,0.4
6,1500,7728.72882771492,0.56,0.31350524329794544,0.4
7,1500,9264.494351625443,0.4444444444444445,0.0,0.0
8,1500,8378.027685642242,0.42857142857142855,0.0,0.0
9,2000,9627.183733224869,0.5384615384615384,0.2945073474911746,0.4
10,2000,10884.949425697327,0.3846153846153846,0.0,0.0
11,2000,9414.238719701767,0.5185185185185185,0.3170560537136742,0.4
12,2500,11346.954925775528,0.6399999999999999,0.316331364157109,0.4
13,2500,9517.286426782608,0.37037037037037035,0.0,0.0
14,2500,11290.260997056961,0.37037037037037035,0.0,0.0
15,3000,12421.988010406494,0.3846153846153846,0.0,0.0
16,3000,13084.82459139824,0.5384615384615384,0.27381015009019544,0.4
17,3000,12464.862618207932,0.5833333333333334,0.31709060130246636,0.4
18,3500,14390.84643626213,0.4827586206896552,0.2835033366466774,0.4
19,3500,14787.395683288574,0.4827586206896552,0.28726818531037346,0.4
20,3500,14612.57231926918,0.5384615384615384,0.28150748956361693,0.4
21,4000,15104.918520450592,0.5714285714285715,0.2901193090894435,0.4
22,4000,16271.287161827087,0.6153846153846153,0.3286001781840428,0.4
23,4000,15863.881118059158,0.4799999999999999,0.30454150445399,0.0
24,4500,17040.55862879753,0.56,0.32771337212544294,0.4
25,4500,16946.55899333954,0.3571428571428571,0.046012353445848364,0.8
26,4500,17581.62045288086,0.5384615384615384,0.2975935334424769,0.4
27,5000,16957.979794979095,0.6153846153846153,0.17732999452938056,0.4
28,5000,17190.55057120323,0.56,0.29160177947985827,0.4
29,5000,17110.24413394928,0.5384615384615384,0.3239587842253744,0.4
