,Data,Elapsed Time (s),F1 Score,CMI,Recall
0,500,8209.344209194183,0.0,0.25141975513524734,0.0
1,500,9337.211567163467,0.5454545454545454,0.06498729003845805,0.4
2,500,10049.673627614975,0.6086956521739131,0.14319932935298874,0.8
3,1000,19874.683071374893,0.1111111111111111,0.15062559150890947,0.0
4,1000,11444.471621513367,0.0,0.20826339596104493,0.0
5,1000,14930.850239992142,0.5217391304347826,0.10373546330111427,0.4
6,1500,20169.01375603676,0.3,0.14567747834866374,0.4
7,1500,16668.870926380157,0.1111111111111111,0.23842801166033317,0.0
8,1500,14113.34220290184,0.5,0.11732466580615952,0.4
9,2000,35323.87211084366,0.3,0.12755785561383215,0.4
10,2000,15824.59485912323,0.125,0.2100464891386295,0.0
11,2000,16395.50748515129,0.11764705882352941,0.1638414912449333,0.0
12,2500,39283.697090387344,0.3636363636363636,0.12311853608877087,0.4
13,2500,15841.26528954506,0.3,0.11920286578458622,0.4
14,2500,18385.540786981583,0.3157894736842105,0.1323758895249597,0.4
15,3000,16031.89539527893,0.11764705882352941,0.16689222376709387,0.0
16,3000,18979.04542160034,0.3636363636363636,0.07080319665776677,0.0
17,3000,28168.727991104126,0.2857142857142857,0.14914157035033215,0.4
18,3500,25958.82218694687,0.3,0.15080498856213354,0.4
19,3500,25546.581250667572,0.1111111111111111,0.12708373984467292,0.0
20,3500,18303.371005535126,0.33333333333333337,0.13978269017764347,0.0
21,4000,16480.39857316017,0.11764705882352941,0.1784029468985926,0.0
22,4000,16652.374660730362,0.3157894736842105,0.11729742832600543,0.4
23,4000,14714.319595575333,0.5,0.10663266552051266,0.4
24,4500,17499.570135354996,0.38095238095238093,0.16211429133892138,0.8
25,4500,23189.07664012909,0.11764705882352941,0.1916121292781799,0.0
26,4500,17682.92974472046,0.11764705882352941,0.18643193999607668,0.0
27,5000,16544.85966181755,0.3157894736842105,0.15463679404497377,0.4
28,5000,20090.663594722748,0.1111111111111111,0.15066757343113815,0.0
29,5000,17918.92305970192,0.1111111111111111,0.16004750325153183,0.0
