,Data,Elapsed Time (s),F1 Score,CMI,Recall
0,500,279.86943459510803,0.5217391304347826,0.3943736992183248,0.4
1,500,256.9259729385376,0.34782608695652173,0.30177589518760267,0.0
2,500,463.39783573150635,0.2727272727272727,0.3051858262447727,0.0
3,1000,1121.7158238887787,0.4166666666666667,0.3665943066993766,0.4
4,1000,864.1459114551544,0.2727272727272727,0.36937976056563937,0.0
5,1000,708.1158010959625,0.4166666666666667,0.11788686655258507,0.0
6,1500,6188.191483974457,0.3846153846153846,0.33123847557963265,0.4
7,1500,4449.79013800621,0.34782608695652173,0.35408710569166285,0.0
8,1500,4238.497399806976,0.4347826086956522,0.35398808453292097,0.4
9,2000,6017.573708534241,0.4444444444444445,0.3286759706797042,0.4
10,2000,6907.159163951874,0.4,0.11199189804115901,0.0
11,2000,6241.336964845657,0.4444444444444445,0.23823330396163447,0.4
12,2500,9867.924834251404,0.1111111111111111,0.3710386732214566,0.0
13,2500,8949.730236291885,0.2857142857142857,0.3885281462396106,0.4
14,2500,10644.138240098953,0.4166666666666667,0.3873672149022544,0.4
15,3000,13706.40498161316,0.4615384615384615,0.2581582352535814,0.4
16,3000,13740.804898262024,0.2857142857142857,0.24164862253700764,0.0
17,3000,16437.479171276093,0.2608695652173913,0.2501475542879333,0.4
18,3500,18509.200660705566,0.5185185185185185,0.3726784969188971,0.4
19,3500,19532.085438251495,0.33333333333333337,0.32652186846108755,0.2
20,3500,23948.438614606857,0.42857142857142855,0.2724136427259107,0.4
21,4000,27776.95580983162,0.3076923076923077,0.27114374603209523,0.0
22,4000,18462.814039707184,0.42857142857142855,0.2649696428577399,0.0
23,4000,24341.771572351456,0.3076923076923077,0.23146689191069586,0.0
24,4500,23286.733961105347,0.3571428571428571,0.3515336605963746,0.4
25,4500,20018.069026470184,0.4166666666666667,0.2990809823139967,0.8
26,4500,23370.24387526512,0.37037037037037035,0.25787017375516624,0.4
27,5000,34815.062767744064,0.3571428571428571,0.29287045310800036,0.8
28,5000,22214.024434566498,0.37037037037037035,0.3282708709680738,0.4
29,5000,19242.48969721794,0.25,0.35591702723414753,0.0
