,Data,Elapsed Time (s),F1 Score,CMI,Recall
0,500,4147.909954786301,0.3846153846153846,0.45898382052214876,0.0
1,500,3650.451578617096,0.4347826086956522,0.0,0.0
2,500,3889.129118680954,0.6086956521739131,0.24726997832875872,0.4
3,1000,5305.555402994156,0.56,0.3072469540202088,0.4
4,1000,4846.56080698967,0.5833333333333334,0.2933163449832085,0.4
5,1000,4840.64302945137,0.5384615384615384,0.3574058014925386,0.4
6,1500,6723.1159563064575,0.56,0.3117387311215477,0.4
7,1500,6612.687272787094,0.4,0.0,0.4
8,1500,5408.2197701931,0.5384615384615384,0.31459957214239326,0.4
9,2000,7256.475750923157,0.5833333333333334,0.2813361874017772,0.0
10,2000,6741.928880214691,0.5833333333333334,0.3175621615570121,0.4
11,2000,6936.702793836594,0.42857142857142855,0.0,0.0
12,2500,7715.218232393265,0.5833333333333334,0.3323608532051185,0.4
13,2500,8013.851295232773,0.5185185185185185,0.31451625560820146,0.4
14,2500,8575.372963905334,0.5384615384615384,0.2762369447056726,0.4
15,3000,9761.990390777588,0.3846153846153846,0.0,0.0
16,3000,10355.88207435608,0.5714285714285715,0.32511698948781653,0.4
17,3000,10923.35278582573,0.5925925925925926,0.3171298990694255,0.4
18,3500,11750.618339776993,0.5384615384615384,0.3151745122254404,0.4
19,3500,12109.240446567535,0.4615384615384615,0.0,0.8
20,3500,12495.101195335388,0.5384615384615384,0.3122581300451933,0.4
21,4000,14306.495436191559,0.4444444444444445,0.0,0.0
22,4000,12534.32573723793,0.4615384615384615,0.0,0.0
23,4000,13677.526067495346,0.4827586206896552,0.2937215227481589,0.4
24,4500,15642.96613073349,0.5833333333333334,0.2829129496044547,0.4
25,4500,14258.34960603714,0.5185185185185185,0.294147136814922,0.4
26,4500,15015.62578177452,0.3846153846153846,0.0,0.4
27,5000,16492.90671133995,0.5,0.16155436949655994,0.4
28,5000,14840.227715969086,0.5714285714285715,0.33047303772062864,0.4
29,5000,17122.356304883957,0.5185185185185185,0.3042976633080364,0.4
