,Data,Elapsed Time (s),F1 Score,CMI,Recall
0,500,29125.455945968628,0.4210526315789474,0.1868819021415814,0.0
1,500,39302.82270693779,0.34782608695652173,0.12381663087308148,0.0
2,500,22264.633541345596,0.4,0.18443768132053462,0.0
3,1000,47284.45262956619,0.1,0.19882025935865286,0.0
4,1000,52641.55740380287,0.2857142857142857,0.11670673039820781,0.4
5,1000,57935.02198982239,0.0,0.20289120670611518,0.0
6,1500,47180.88255381584,0.21052631578947367,0.09695262254334273,0.0
7,1500,28520.34891319275,0.4,0.13639764504697002,0.0
8,1500,33377.081120967865,0.0,0.1486682244893743,0.0
9,2000,44510.19006896019,0.34782608695652173,0.16091953400314374,0.0
10,2000,50483.32783102989,0.10526315789473684,0.1475876641579902,0.0
11,2000,31610.42734694481,0.1111111111111111,0.20380595144700542,0.0
12,2500,28597.8241147995,0.1111111111111111,0.11644339746588664,0.0
13,2500,47580.4068672657,0.21052631578947367,0.12572553684908633,0.4
14,2500,27501.152712345123,0.125,0.24318142684295463,0.0
15,3000,38988.07660269737,0.09523809523809523,0.095160768641369,0.0
16,3000,36419.57520532608,0.4615384615384615,0.07742457883817631,0.4
17,3000,41808.003541469574,0.37037037037037035,0.0029979700207176663,0.0
18,3500,30331.216299533844,0.2857142857142857,0.10438384890090946,0.4
19,3500,31093.755177259445,0.11764705882352941,0.16417732190895507,0.0
20,3500,48475.78632569313,0.10526315789473684,0.13060468190967786,0.0
21,4000,36983.3018579483,0.125,0.23695074463351648,0.0
22,4000,46803.3228123188,0.4,0.10486764061590606,0.0
23,4000,42307.78394961357,0.11764705882352941,0.16693787567415772,0.0
24,4500,30666.7346098423,0.2727272727272727,0.14564540576130472,0.4
25,4500,25469.026826143265,0.3,0.1470259183016228,0.4
26,4500,24599.493499040604,0.1111111111111111,0.11877452236019988,0.0
27,5000,27652.466576576233,0.3157894736842105,0.1761292591054031,0.4
28,5000,21083.88666987419,0.4615384615384615,0.0738847552411,0.4
29,5000,18240.451320648193,0.3,0.13452898331630575,0.4
