,Data,Elapsed Time (s),F1 Score,CMI,Recall
0,500,5421.648064374924,0.5217391304347826,0.04917131196498037,0.4
1,500,8746.604204177856,0.6,0.037426049859894395,0.8
2,500,6785.373066663742,0.5,0.025283788646550676,0.4
3,1000,8775.599354982376,0.5925925925925926,0.02195061643781493,0.4
4,1000,8014.643412590027,0.56,0.05620344997353044,0.4
5,1000,7502.906337022781,0.56,0.04721680013690843,0.4
6,1500,9293.54224038124,0.6086956521739131,0.029272719742364117,0.4
7,1500,10713.17593240738,0.3846153846153846,0.0,0.4
8,1500,9254.737485408783,0.37037037037037035,0.0,0.8
9,2000,10494.733176469803,0.4827586206896552,0.03097840903655591,0.4
10,2000,10441.606518983841,0.56,0.027873514906028518,0.4
11,2000,11522.509861707687,0.5517241379310345,0.01659775455827539,0.4
12,2500,12495.925241947174,0.5185185185185185,0.02988087582338661,0.4
13,2500,14089.652375936508,0.3846153846153846,0.002769973925237146,0.0
14,2500,12568.083318948746,0.5185185185185185,0.02015749883451967,0.4
15,3000,16069.501593351364,0.5384615384615384,0.02113545392993288,0.4
16,3000,14525.195624828339,0.5,0.025554956678894847,0.4
17,3000,14131.43228983879,0.56,0.021897640735555335,0.4
18,3500,19642.327432632446,0.5,0.015306628148090695,0.4
19,3500,14424.162790060043,0.4347826086956522,0.0,0.0
20,3500,15109.94986653328,0.56,0.02421543005445148,0.4
21,4000,19672.452966213226,0.5714285714285715,0.014943821320335005,0.4
22,4000,19697.990395784378,0.56,0.024492346254913144,0.4
23,4000,15015.134715795517,0.5185185185185185,0.03124861259693823,0.4
24,4500,17059.5697722435,0.56,0.024732871632575204,0.4
25,4500,14855.929540157318,0.4444444444444445,0.0,0.8
26,4500,16214.051281690598,0.56,0.02865979426801868,0.4
27,5000,17377.37515759468,0.56,0.024370689729661166,0.4
28,5000,18545.779850006104,0.56,0.026909044173626384,0.4
29,5000,19899.20925807953,0.3846153846153846,0.0,0.0
