0,1,2,3,4,5,6,7
66.21673,0.078297436,292.13718,25.787775,0.00016044914,10.428891,-1.7086846e-05,0.9020996
200.7314,0.00799344,295.1466,23.221931,0.00024030427,8.244879,-1.1175974e-06,0.9338379
24.6515,0.013119094,292.93442,23.45517,0.00022445207,12.020223,1.1909578e-06,0.90112305
159.60626,0.0018723457,294.5942,17.631453,0.007887997,2.5505404,-6.610977e-07,0.5756836
12.18114,0.003811252,291.43723,21.16848,0.0003195707,10.262062,1.1082955e-05,0.6455078
270.90903,0.03127571,294.8843,22.986366,0.000700126,8.251303,-8.551567e-06,0.99731445
18.118408,0.0019642937,291.3952,21.132328,0.00026780425,10.308696,1.5682836e-06,0.7519531
32.45485,0.023081336,294.2437,19.167828,0.0005193207,10.812877,-1.0867112e-05,0.81469727
169.50243,0.009343543,294.2208,24.413954,0.00011762122,8.6819935,8.346213e-06,0.8918457
194.08963,0.0068447352,296.38815,20.214535,0.0031583402,7.38025,8.780691e-06,0.80249023
15.0863,0.0037963202,292.42548,19.628073,0.00017487543,9.356584,1.8358915e-05,0.7573242
25.207438,0.010905333,293.68845,18.457638,0.00018236187,9.957987,2.0376203e-05,0.87841797
25.919224,0.07491203,292.8294,25.923618,0.00019747044,11.098046,1.7003374e-06,0.6904297
189.70163,0.0095477635,295.20016,23.164116,0.00024797526,8.267198,-2.3380596e-06,0.9482422
273.415,0.016475085,295.30978,22.692333,0.0006682496,8.07205,-5.0362096e-06,0.9980469
26.775768,0.011624055,293.6118,18.475445,0.00015751844,9.85772,1.7797942e-05,0.83032227
132.3022,0.015170015,295.0016,18.493612,0.004300544,1.6534257,6.780139e-06,0.67700195
18.027332,0.009055924,293.1998,20.832586,0.00041319217,10.97789,-5.4025836e-06,0.8222656
217.21538,0.050505687,292.81448,24.74831,0.00021530823,9.584882,1.7396719e-06,1.0
162.10367,0.0114577785,291.05048,25.565334,0.00029815148,10.044532,5.740702e-06,0.85180664
37.560024,0.003085548,293.8308,18.589512,0.00014667636,9.514339,4.201641e-06,0.93530273
222.21762,0.029756257,290.538,24.897057,0.00072681403,10.44614,-2.65881e-06,0.9951172
93.43191,0.03698509,294.42905,24.154617,0.00018090886,9.07086,-2.9134217e-06,0.97094727
29.919912,0.018373292,293.12854,22.774204,0.00030914758,11.912373,-5.58476e-06,0.8413086
259.30756,0.026258253,294.88867,23.251915,0.00028615084,8.213591,-5.5872983e-06,0.9926758
36.56043,0.1665421,292.52594,25.624908,0.00017338086,11.13947,1.4580351e-06,0.95336914
245.48749,0.09547499,293.89355,24.436563,0.00013023877,9.1107645,1.1765232e-05,1.0
42.575294,0.0012761278,293.78088,18.797165,0.00015026907,9.368292,3.1309849e-06,0.93847656
259.30756,0.026258253,294.88867,23.251915,0.00028615084,8.213591,-5.5872983e-06,0.9926758
53.463963,0.0011048799,293.4056,19.058342,0.00015140633,9.390054,9.3529457e-07,0.7492676
143.2258,0.01093589,294.959,17.557594,0.004618681,1.5704386,2.1243773e-06,0.5817871
37.58499,0.0022620913,294.1425,18.252945,0.0001907591,9.375834,1.8942978e-06,0.9477539
