D Particles,X Position,Y Position,Z Position,X Velocity,Y Velocity,Z Velocity,T Velocity
388134.9736,11.58200405,9.491244065,14.32819072,9.739445765,6.833847951,12.20791585,27.08890336
329209.4482,9.696795904,7.919196036,12.03825811,9.625371607,6.748484463,12.18627262,27.34693385
395244.3889,9.637873756,7.874291312,12.07190373,11.42727152,8.01322649,14.53029425,32.74084996
482096.5569,11.5087181,9.430043343,14.39437513,11.86570514,8.322064144,14.97725727,33.49201007
450812.9979,11.82881131,9.695054072,14.71933183,10.94086764,7.673258922,13.75318437,30.62727324
438118.153,11.6743518,9.564034331,14.52196731,10.76627651,7.548937828,13.53827121,30.16933888
410338.2202,11.82493956,9.688809005,14.65326638,10.05864225,7.052985711,12.60799341,28.0031912
335925.5581,10.23424048,8.367316721,12.67464086,9.400575511,6.593356957,11.85925363,26.50375359
363458.6355,9.290938033,7.580174479,11.62291335,10.88974119,7.630951958,13.85585924,31.27087199
468935.2778,10.99776108,8.999630101,13.78428626,11.97648884,8.394869658,15.15885528,34.0195545
,,,,,,,
464170.3181,11.92454436,9.775843996,14.85096907,11.16282532,7.829542138,14.03441717,31.25522084
437103.3187,11.6285454,9.528308728,14.46386067,10.78417306,7.563640657,13.56360606,30.22037674
427601.0844,11.91195055,9.761950885,14.78175407,10.37760209,7.276826846,13.01612748,28.9276281
352858.3147,10.85001733,8.884300277,13.41454643,9.407569294,6.603271788,11.82546244,26.30415546
342627.7984,9.291922512,7.589338424,11.57937772,10.3492884,7.259894452,13.14880309,29.58948284
445225.3972,10.44412156,8.543230823,13.09501682,11.92348174,8.360918899,15.12470601,33.99960485
477057.3701,11.90680129,9.762581918,14.84896346,11.45521408,8.03558683,14.41507365,32.12731794
438904.3146,11.67104011,9.565715943,14.51369635,10.80018879,7.576661401,13.58047719,30.24069845
437969.0279,11.89689183,9.756663369,14.77172116,10.63361184,7.462570489,13.34659541,29.64915348
375176.8283,11.36406098,9.310242051,14.05254628,9.587468438,6.727836829,12.02528283,26.6981386
330130.4566,9.472835454,7.73187606,11.77993414,9.82665504,6.887781414,12.4624347,28.02481343
412344.3018,9.863632999,8.057693688,12.36854742,11.63839373,8.157816492,14.7928293,33.33813486
485949.7631,11.78090468,9.670851541,14.69930937,11.78351703,8.277226413,14.84457521,33.0593602
444517.3302,11.74218085,9.619407997,14.61274201,10.85431173,7.609549935,13.64845706,30.41984385
438897.867,11.73943835,9.619225947,14.59779869,10.74104183,7.532150205,13.50040339,30.06603094
399988.2981,11.75569043,9.639578493,14.54518669,9.903397005,6.951919979,12.40708106,27.4997019
330676.7292,9.921155879,8.104199452,12.30430239,9.486526694,6.650478174,11.99244215,26.87488641
380102.7133,9.462002617,7.728172207,11.84206498,11.19585476,7.850810044,14.2402827,32.09767165
477660.9584,11.28874333,9.244755351,14.13366639,11.93898778,8.371385919,15.08880095,33.79596951
456445.3002,11.87082415,9.728513633,14.77930444,11.02731406,7.732378272,13.86330041,30.88408538
437842.0776,11.65353871,9.54966474,14.49348075,10.78448984,7.564348218,13.5620029,30.20958769
419522.4939,11.89294,9.746684419,14.74581341,10.21780421,7.165487804,12.80947932,28.45027821
